name,ratings,no_of_reviews,current_price,original_price
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,599","₹3,799"
URBN 20000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Blue),3.7,"1,536",999,"₹3,499"
"Portronics Zapcell 10k 10000mAh 22.5W Pocket Size Powerbank With Compact And Light Weight Design,Type C PD Output/Input, Mach USB-A Output,Power Delivery,Quick Charge for iPhone, Android,Other Devices",4.3,24,"1,299","₹2,299"
DR VAKU® 10000mAh Magnetic Wireless Power Bank Maxen Magpro for iPhone 15/14/13/12 Series Type C Fast Charging Lithium Polymer Battery (Input & Output) 15w Wireless & Mag-Safe - Black,4.1,108,"2,999","₹5,999"
"URBN 10,000mAh Ultra Slim Power Bank with Type C Dual Ports | 12W Fast Charging | 4-Layer Circuit Protection | BIS Certified | Made in India | 6-Month Replacement Warranty | Free Type C Cable | Camo",3.7,"1,536",799,"₹2,499"
Electronic Spices 3 USB 5v 1a Mobile Power Bank Charger Controller Module Pack of 1pcs,3.3,72,119,₹199
E GATE 102B Powerbank | 10000mAh | 22.5W Fast Charging | QC + PD | Dual Input Port : Type C & Micro USB | Triple Output Port : 2X USB & Type C | LED Indicator| for All iPhone & Android (Black),4.9,24,799,"₹1,800"
"ElevOne by Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Type-C Cable (Rapid 20, Black)",3.5,212,999,"₹2,499"
URBN 5000 mAh Premium Magsafe Power Bank | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Light Blue),3.6,999,"1,999","₹4,999"
"pTron Dynamo 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB & Multiple Layers of Protection (Blue)",3.4,164,999,"₹3,199"
URBN 27000 mAh 65W Ultra Fast Charging Compact Laptop Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge MacBook & Mobile Phones |Made in India (Camo),3.8,69,"3,499","₹6,999"
"DR VAKU® 20000mAh Power Bank Nextek Portable 22.5w PD 18w QC Fast Charging Dual USB Port (Input & Output) Lithium Polymer Battery Power Bank for iPhone, Samsung & Android Devices- Black",4.3,215,"1,599","₹4,999"
"Spigen ArcPack 10000mAh Power Bank | PD 3.0 Fast Carging | 22.5W Max Output | 2 Type-C Ports,1 USB-A Port - (ABS + PC | Navy Blue)",4.6,25,"1,414","₹2,099"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",3.9,"31,469",999,"₹1,799"
"E GATE 117-BW Wirelesss 10000mAh Powerbank | Fast Charging | Output - 22.5 Wired, 15W Wireless | QC+PD | Strong Magnetic Hold | Inbuilt Stand | LED Display | Made in India (White)",4.9,24,990,"₹3,000"
"pTron Dynamo Elite 10000mAh 22.5W Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports & Multiple Layers of Protection (Jet Black)",3.4,49,899,"₹2,899"
"URBN 10000 mAh Nano Slim Power Bank | 22.5W Fast Charging | Type C PD (Input& Output) | Made in India | Two Way Fast Charge | for iPhone, Android & More (Camo)",4.1,"6,118","1,346","₹2,999"
LAPCARE Trust-II 10000mAh Slim Wireless Power Bank | 22.5W Type-C PD & 15W Wireless | Strong Magnetic Hold | Compatible with All Magsafe Devices - for iPhone 12/13/14/15/16 Series (Made in India),4.3,14,"1,699","₹3,699"
"CALLMATE Powernugget 5000mAh 23W Fast Charging Type C Power Bank with 23W Type C PD Input & Output, Compatible with Samsung Type C Phones, Tablets (Type-C, Li-Ion, Black)",3.2,5,699,"₹1,999"
"Belkin 10000 mAh Lithium-ion Power Bank, Premium Gold Edition | Type C PD Input & Output | Tripple Output | 2-Year $2500 CEW",4.1,"4,525","2,099","₹3,499"
DR VAKU® 10000mAh Magnetic Wireless Power Bank Maxen Magpro for iPhone 15/14/13/12 Series Type C Fast Charging Lithium Polymer Battery (Input & Output) 15w Wireless & Mag-Safe - White,4.1,108,"2,999","₹5,999"
LAPCARE Trust-1 Wireless 10000 mAh Fast Charging PD Power Bank | Strong Magnetic Hold | Magsafe Compatible for iPhone 12 & Above | 15w Wireless & 20w with Type-C Fast Charging | LED Indicator,3.5,14,"1,399","₹2,799"
alain store Pocket Charge Alain Store 3-In-1 Camping Working Emergency Large Capacity 5000Mah External Mobile Battery Charger Detachable Connectors (Black),3.6,37,"1,410","₹3,999"
"Ambrane Solar Powerbank 10000mAh with 5 Solar Panels, 5 Days Recharge time in Sunlight, 22.5W Fast Charging, USB & Type C Output for iPhone, Android & Other Devices, Led Flashlight (Solar 10k, Black)",3.0,15,"2,999","₹5,999"
"GadgetBite Silicone case for Xiaomi, 10000mAh Power Bank, for Xiaomi mi[Power Bank NOT Included]-White",4.6,308,249,₹999
"UBON Travelking PB-X90, 20000mAH Li-Polymer 12W Power Bank with 2.4A inbuilt 3 in 1 Type-C, V8 & Lightning Cables & Mobile Stand, Proudly Made in India, Universal Compatibility (Black)",3.9,328,"2,199","₹3,999"
"UNIGEN UNIPOWER 300 Mag-Safe Power Bank [Made in India] 10000mAh 15W Wireless/22W Wired Fast Charging, USB Type C Compatible with iPhone 15/14/13/12/Pro/Pro Max-Black",3.9,15,"1,999","₹5,999"
"Anker Power Bank Battery Pack, 20,000mAh 22.5W High Speed Charging Portable Charger with Built-in USB C Cable, 1 USB-C, 1 USB-A, for iPhone 15/15 Plus/15 Pro/15 Pro Max, MacBook, Galaxy",4.4,352,"4,299","₹6,499"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",4.2,166,899,"₹2,599"
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)",4.1,545,"1,399","₹3,999"
LAPCARE Bolt I 10000mAh Powerbank | 22W PD Fast Charging | Transparent Design | LED Indicator | Type C & Dual USB Ports | Dynamic Display |Smart Chip Protection | Low Power Consumption Made in India,4.2,37,999,"₹2,799"
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Yellow),3.9,"1,724","1,398","₹3,999"
"Stuffcool Snap 5000mAh Super Compact Lightning Power Bank with 20W PD Output, Charges Any iPhone 50% in 30 mins, Compatible with All iPhones, iPads, Airpods (Black)",3.5,206,"1,898","₹2,999"
"Belkin 10000 mAh PD 3.0 Slim Fast Charging Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously, for iPhones, Android Phones, Smart Watches & More - Rose Gold",4.1,"4,525","1,489","₹3,499"
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Grey",3.7,"1,536",752.,"₹2,999"
"Portronics Power D 20k 20000 mAh Power Bank with 22.5W Max Output, Dual Input (Type C + Micro), Dual USB Output, Type C Output, LED Digital Display, Wake Up Button(Black)",3.7,269,"1,532","₹2,999"
"IKALL K41 Power Bank 4 Sim Keypad Mobile (2.4 Inch Display, 4000 mAh Battery) (Blue)",3.0,7,"1,740","₹2,999"
URBN 20000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Green),3.7,"1,536",985.,"₹3,499"
"Portronics Luxcell 10K 10000 mAh Designer Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Yellow)",4.0,71,879,"₹1,999"
"ElevOne by Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Type-C Cable (Rapid 20, Blue)",3.5,212,999,"₹2,499"
Electronic Spices Dual Usb Output 5v 2.1a 1a Power Bank Charging Module With Digital Lcd Display Indicator Pack of 1pcs,3.3,29,309,₹699
"Stuffcool Major Max 20000mAh 35W PD PPS Type C Made in India Powerbank, Charges MacBook Air M1/M2 0-90%, Supports Galaxy Super Fast Charging, Charges iPhones/Pixels 50% in 30 mins",3.7,251,"2,099","₹3,999"
"ElevOne by Ambrane 10000mAh Slim & Compact Powerbank, 12W Fast Charging, Dual USB Output, LED Indicators with Transparent Design for iPhones, Android, Smart Watches & Other Device (Rapid X, Purple)",4.0,110,899,"₹1,499"
"Portronics Luxcell B12 10,000mAh 12W Power Bank, Ultra Slim Power Bank with USB-A Output Port & Dual Input Ports (Micro & Type C Input Ports)|BIS Certified |Type C Cable Included|Made in India(Yellow)",3.7,93,618,"₹1,499"
"Anker Nano Power Bank, 10,000mAh Portable Charger with Built-in USB-C Cable, PD 30W Output with 1 USB-C, 1 USB-A, Fast Charging Battery Pack for iPhone 16/15/14 Series, Galaxy, iPad, and More - Green",4.6,"4,414","3,499","₹7,999"
URBN X PAYAL Singhal 10000 mAh Slimmest Nano Power Bank | 22.5W Super Fast Charging | Pocket-Sized| Dual Power Delivery Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Pink),4.1,"6,118","1,639.","₹3,499"
"pTron Dynamo Quanta 10000mAh 22.5W Nano Power Bank, 15W Magnetic Wireless Charging, Compact Size Fast Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,899","₹4,599"
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Camo",3.7,"1,536",999,"₹2,999"
"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)",3.8,"8,571","1,399","₹4,899"
Stuffcool Monde 10000mAh Magnetic Wireless Power Bank with Foldable Apple Watch Charging Perfect for iPhone 12/13/14 and All Apple Watch Versions,3.4,19,"3,999","₹6,990"
"Ambrane 10000mAh Powerbank, Slim & Compact (Pocket & Travel-Friendly) 22.5W Fast Charging, USB & Type C Output, Power Delivery, Compatible with iPhone, Android & Other Devices, (Line-10, Brown)",4.2,27,"1,299","₹1,999"
Techtonics Dual USB 5V 2.4A Micro/Type-C USB LED Mobile Power Bank 18650 Charging Module,3.4,25,295,₹450
"pTron Newly Launched Dynamo Lite 10000mAh 12W Power Bank, Made in India, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Slim Design & Multiple Layers of Protection (Black)",3.4,104,699,"₹2,599"
Amazon Basics 10000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Made in India (Grey),3.8,733,"1,189","₹3,999"
"URBN Power Bank 10,000mAh Ultra Slim 12W | Dual Port Type C Input/Output | BIS Certified | 4-Layer Circuit Protection | 6-Month Replacement Warranty | Made in India | Free Type C Cable - Blue",3.7,"1,536",699,"₹2,499"
"Belkin 20000 mAh Lithium-ion Power Bank, Premium Gold Edition | Type C PD Input & Output | Tripple Output | 2-Year $2500 CEW",4.1,"2,791","3,699","₹6,999"
KP Original Battery 3.7V Rechargeable Lithium Ion Battery Power Bank Cell Use for Led Light Bluetooth Speaker Emergency Light (3.7V 2500Mah Li-Ion Battery),5.0,1,299,₹499
"ZEBRONICS MW62 Wireless Power Bank, 10000 mAh, Rapid Charge, Built-in Wireless Charging Pad, Outputs - 22W Wired | 15W Wireless, Type C I/O | USB Output, Built-in Foldable Stand, Made In India (WHITE)",3.2,579,"1,619","₹3,999"
"LAPCARE Volt I Pocket Size Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Outputs -USB | PD Type C | Lightning, LED Indicator, Built in Cables, Built in Protection, Made in India (Grey)",5.0,8,"1,199","₹2,799"
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Premium Metallic Body, Strong Magnet, 20W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices (Aerosync PB Prime, Orange)",4.3,216,"2,499","₹4,999"
"Amazon Basics 10000 mAh Lithium Polymer Mini Power Bank with 22.5W Fast Charging, Dual Output, Charging Indicator, Type-C Cable Included (Black)",5.0,23,"1,559","₹2,899"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",4.2,166,899,"₹2,599"
"Lifelong AMPCHARGE 20000 mAh 22.5 W Compact Pocket Size Power Bank with 4 Input/Output Port (Light Blue, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Smartwatch, Speaker)",4.3,5,"1,899","₹2,999"
"Portronics Boosty 10K 10000mAh 15W Wireless Magnetic Fast Charging Slimmest Powerbank, Metallic Finish, 20W Type C PD Output, Light Weight, Compatible with iPhone 12 Above, Other Qi Enabled Devices",3.6,29,"2,498","₹4,999"
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),3.9,"1,724","1,469","₹3,999"
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More",4.2,"3,119","3,000","₹3,499"
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,599","₹3,799"
"CALL MATE DX03 Power Bank 10000mAh Li-Polymer with 2.4 Fast Charging with 1 USB Port and 2 Input (Micro, Type C),Semi Digital Battery Indicator, in-Built 3 in 1 Detachable Cable (Red)",3.5,40,899,"₹2,499"
xcluma Dual USB 5V 1A 2.1A Mobile Power Bank 18650 Battery Charger PCB Module Board,3.4,92,263,₹599
"Stuffcool Click Max 10000mAh Powerbank with Built-in PD20W Type-C Cable to Fast Charge iPhones 50% in 30 Mins, 15W Magnetic Wireless Charging for iPhone 12/13/14/15/16 and AirPods Pro (White)",3.9,23,"3,299","₹3,999"
"ZEBRONICS MW64 Compact Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Outputs - Type C Cable | Type C Port | Lightning Port, Percentage Indicator, Made in India (Lavender)",3.2,579,"1,519","₹2,999"
"LAPCARE Ginne-II 20000mAh Slim 22.5w PD Fast Charging Power Bank | Dual Port (Type-C + USB) | LED Indicator | Small Pocket Friendly Metal Design for iPhone, Android & Other Devices",5.0,34,"1,699","₹4,599"
"Belkin 20000 mAh 30W PD Power Bank for MacBook, Mobiles and Tablets with USB-C Port, USB-C Cable Included - White",4.5,376,"5,989","₹9,999"
Saco Shock Proof Pouch Case Compatible for MI Power Bank 3i 20000mAh Lithium Polymer Wallet | Black (Power Bank Not Included),4.3,549,326,₹775
"LAPCARE Volt I Pocket Size Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Outputs -USB | PD Type C | Lightning, LED Indicator, Built in Cables, Built in Protection, Made in India Green",4.5,11,"1,199","₹2,799"
kesig® 1500mAh Large Capacity Battery Small Solar Charger Solar Power Bank Keychain Charger for Mobile Phones with Carabiner Emergency Power Supply - C pin,2.5,9,789,"₹1,499"
OBOE Silicon Soft Cover Case for Mi Power Bank 3i 10000 mAh/Mi Wireless Power Bank 10000 mAh Battery (Black) [Power Bank NOT Included],4.0,"2,537",332,₹899
Electronic Spices 2USB Power Bank Charging Module Circuit Board- DC-DC Step Up Boost Power Supply Module - 5V 1A (2 USB),2.8,184,139,₹300
LAPCARE Blaze 10000mAh Power Bank | Dual USB Port + PD 22.5w Fast Charging Type-c | Led Indicator | Light Weight | Compact & Slim Design | Made in India,3.1,7,699,"₹1,599"
"E GATE 117-BW Wirelesss 10000mAh Powerbank | Fast Charging | Output - 22.5 Wired, 15W Wireless | QC+PD | Strong Magnetic Hold | Inbuilt Stand | LED Display | Made in India (White)",4.9,24,990,"₹3,000"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",3.9,"31,469",999,"₹1,799"
"SR Portables 20000mAh High-Capacity Power Bank, 22.5W Fast Power Delivery Charging | Input- Type C, Micro USB | Triple Output - 2 x USB A, 1 x USB C (Black, 20,000 mAh)",5.0,11,"1,398","₹3,999"
"Loony 10000mAh Magnetic Wireless Power Bank (2in1 Charge with USB-C Cable + Wireless) with Step Stand for Smartphones (iPhone,Samsung)/ Earphones (Airpod), iOS/Android Devices - (Blue)",3.2,48,"1,010","₹5,999"
"iGear Max 10 Plus 10000mAh Magsafe Power Bank, 15W Wireless & 22.5W Wired Charging, Digital Display, Type-C Input/Output, Phone Stand, Magnetic Ring for iPhone 12 & Above, Android & Qi Devices (Blue)",3.6,19,"1,799","₹4,000"
"Spigen 5in1 10000mAh Wireless Power Bank & 35W GaN PPS Charger 1 Port with USB-A Dual Charging Dock for Airpods and Smartwatches, Lithium Polymer - Black",3.6,244,"4,099",₹819.80
OBOE Silicon Soft Cover Case for Redmi Power Bank 20000 mAh Battery (Black) [Power Bank NOT Included],3.8,893,332,₹899
"Spigen ArcPack 10000mAh Power Bank | PD 3.0 Fast Carging | 22.5W Max Output | 2 Type-C Ports,1 USB-A Port- (ABS + PC | Black)",3.8,27,"1,414","₹2,099"
"Stuffcool Ally 10000mAh Compact powerbank with Fast Wired Charging for iPhone, Built in Watch Charger, Lightning to Type C Cable Included, Charges iPhone 50% in 30 mins",3.3,11,"1,999","₹4,490"
"CALL MATE DX03 Power Bank 10000mAh Li-Polymer with 2.4 Fast Charging with 1 USB Port and 2 Input (Micro, Type C),Semi Digital Battery Indicator, in-Built 3 in 1 Detachable Cable (Black)",3.5,40,899,"₹2,499"
"Belkin 5000 mAh Magnetic MagSafe Wireless Power Bank with Stand, Sleek Design for iPhone 15, 14, 13 and 12 Series, Compatible with MagSafe Covers – Pink",3.6,"2,073","3,499","₹8,999"
IP5306 Fully-Integrated Power Bank System-On-Chip Charger IC – Package-ESOP8,3.8,23,99,₹199
"Anker 548 Power Bank (PowerCore Reserve 192Wh) B2B - UN (excluded CN, Europe) Green Iteration 1",4.5,"1,001","15,999","₹27,999"
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Blue",3.7,"1,536",799,"₹2,999"
LAPCARE Bolt I 10000mAh Powerbank | 22W PD Fast Charging | Transparent Design | LED Indicator | Type C & Dual USB Ports | Dynamic Display |Smart Chip Protection | Low Power Consumption Made in India,4.2,37,999,"₹2,799"
"pTron Dynamo Elite 10000mAh 22.5W Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports & Multiple Layers of Protection (Jet Black)",3.4,49,899,"₹2,899"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",4.2,166,899,"₹2,599"
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Yellow),3.9,"1,724","1,398","₹3,999"
"Stuffcool Snap 5000mAh Super Compact Lightning Power Bank with 20W PD Output, Charges Any iPhone 50% in 30 mins, Compatible with All iPhones, iPads, Airpods (Black)",3.5,206,"1,898","₹2,999"
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)",4.1,545,"1,399","₹3,999"
"Portronics PowerPulse 30 Advanced 10000 mAh Smallest Power Bank with 30W Max Output, LED Indicator, 18w Mach USB-A Output, 30W Type C PD Output, Type C Input, Comes with Type C Charging Cable(Black)",4.4,33,"1,499","₹2,999"
"pTron Newly Launched Dynamo 10000mAh 22.5W Power Bank, Made in India, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB, Li-Polymer Battery & Multiple Layers of Protection (Black)",3.6,"1,223",999,"₹3,199"
CALLMATE Wireless 20000 mAh Lithium Polymer Digital Display Power Bank with in-Built 4 in 1 Cable USB Input Port W-006 with 15 Watt Fast Charging (Black),3.4,122,"1,999","₹2,499"
"HUNCHA High Capacity Hongli Lithium Ion 1200mAH Rechargeable Original Power Ultra Boost High Capacity Cell Batteries, LED, Bluetooth Speaker, Laptops, Power Bank & Torch Etc,Flat Top, 3.7V, Pack of 10",2.8,2,399,₹39.90
"Fire Beat AI 10000mAh Slimmest Magnetic Wireless Powerbank in Inbuilt Cable Range/AI Powered Safety Charging for iPhone 11, 12, 13, 14, 15, 16 & Other Wireless Phone",4.8,18,"2,492","₹3,999"
Amazon Basics 10000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Made in India (Blue),3.8,733,"1,189","₹3,999"
SP Electron C-Type Ultra Small 5V Micro USB DIY Step Up Power bank Charging Module Circuit Board,3.3,3,99,₹199
"tD True Desire 10000mAh Magsafe Compatible Mini Wireless Power Bank for iPhone Series 15, 14, 13 & 12, 22.5W Wired with 15W Wireless Charging Type C Power Bank, Li-Polymer (Green)",3.5,9,"1,299","₹5,999"
"Belkin 20000 mAh Lithium-ion Power Bank, Premium Space Gray Edition | Type C PD Input & Output | Tripple Output | 2-Year $2500 CEW",4.1,"2,791","3,699","₹6,999"
"CALLMATE Powernugget 5000mAh Fast Charging Power Bank (20W Light-ning & 23W Type C PD Output), Compatible with All iPhones, iPads, Airpods (Light-ning, Li-Ion, Black)",3.3,7,699,"₹1,999"
Amazon Basics 5000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 20W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and above (White),3.0,467,"1,219","₹2,499"
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,599","₹3,799"
"Belkin 10000 mAh PD 3.0 Slim Fast Charging Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously, for iPhones, Android Phones, Smart Watches & More - Black",4.1,"4,525","1,489","₹3,499"
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Camo",3.7,"1,536",999,"₹2,999"
"Samsung Galaxy 10000mAh Power Bank, 25W Fast Charging, Dual Output, Quick Charge, Beige",4.2,182,"3,599","₹3,999"
"MLTC LED 3W Torch Light Rechargeable Torch Flashlight,Long Distance Beam Range Car Rescue Torch with Hammer Window Glass and Seat Belt Cutter Built in Mobile USB Fast Charger Power Bank",3.3,3,349,₹999
T Teclusive 20W + 22.5W Magnetic Wireless Power Bank 20000mAh with Attached iPhone Type C Cables Compatible for iPhone 14 13 12 Pro Max | Digital Display Powerbank with 4 Output and 2 Input Port,3.9,10,"3,999","₹7,999"
"ZEBRONICS MW65 Wireless Power Bank, 10000 mAh, Rapid Charge, Built-in Wireless Charging Pad, Outputs - 22.5W Wired | 15W Wireless, Type C PD, LED Indicator, Made in India (Fun Beige)",3.8,43,"1,719","₹2,999"
"Armilo. Portable Bracelet Charger (for iPhone) Premium, Easy to Wear & Durable, Black",3.8,95,599,"₹1,999"
"ElevOne by Ambrane 10000mAh Slim & Compact Powerbank, 12W Fast Charging, Dual USB Output, LED Indicators with Transparent Design for iPhones, Android, Smart Watches & Other Device (Rapid X, Black)",4.0,110,899,"₹1,499"
"ZEBRONICS MW60 Power Bank, 10000 mAh, Rapid Charge, 20W Output, Outputs - Dual USB | Dual Type C | Lightning, Type C PD, LED Indicator, Built in I/O Cables, Made in India (Lavender)",3.2,579,"1,119","₹2,399"
"Ambrane 10000mAh Powerbank, Slim & Compact (Pocket & Travel-Friendly) 22.5W Fast Charging, USB & Type C Output, Power Delivery, Compatible with iPhone, Android & Other Devices, (Line-10, Green)",4.2,27,"1,299","₹1,999"
"Amazon Basics 20000 mAh 22.5W Fast Charging Lithium Polymer Power Bank with Type C Cable | Dual Input, Triple Output | White",3.5,"1,370","1,349","₹2,999"
"ZEBRONICS MW61 Wireless Power Bank, 10000 mAh, Rapid Charge, Built-in Wireless Charging Pad, Outputs - 22.5W Wired | 15W Wireless, Type C PD 3.0, LED Indicator, Made in India (Yellow)",3.2,579,"1,249","₹2,799"
Oboe Silicon Soft Cover Case for Mi Boost Pro Power Bank 30000 mAh Battery (Black) [Power Bank NOT Included],4.0,"2,537",379,₹999
"Callmate 60000mAh Power Bank, 23W Fast Charging with Type C PD (Input & Output) | Digital Display | with Detachable Cable (Type-C & iOS)| 5 Output and 2 Input |LED Torch (Black, Lithium Polymer)",3.1,48,"3,999","₹5,999"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Blue)",3.9,"31,469",899,"₹1,799"
"Spigen ArcPack 20000mAh Power Bank | PD 3.0, PPS Fast Carging | 30W Max Output | 2 Type-C Ports, 1 USB-A Port - (ABS + PC | Navy Blue)",4.1,232,"2,478","₹3,499"
"Spigen 20,000mAh, 30W Fast Charging Durable Alloy Power Bank with PD3.0 20W for 2 USB-C Ports, QC3.0 22.5W for USB-A Port - Black",3.9,39,"2,454",₹818
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),3.9,"1,724","1,469","₹3,999"
"E GATE 117-BW Wirelesss 10000mAh Powerbank | Fast Charging | Output - 22.5 Wired, 15W Wireless | QC+PD | Strong Magnetic Hold | Inbuilt Stand | LED Display | Made in India (White)",4.9,24,990,"₹3,000"
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,599","₹3,799"
"iGear Max 20 Power Bank 20000mAh, Type-C PD 22.5W Fast Charging, Triple Output Ports, Battery Indicator, Wake-up Button, High-Speed Power Delivery for Phones & Tablets, Compact Design (Black)",4.7,21,"1,199","₹4,000"
